route_id,trip_id,trip_headsign,direction_id
4486_88211,4492_10000,Swords Manor,0
4486_88211,4486_10216,Abbey St,1
4486_88212,4492_10222,Swords Manor,0
4486_88212,4492_10223,Knocksedan,0
4486_88212,4492_10225,UCD,1
4486_88213,4486_10333,Portmarnock,0
4486_88213,4486_10443,Talbot Street,1
4486_88214,4492_10448,Swords Bus.Pk,0
4486_88214,4492_10517,Talbot Street,1
4486_88215,4492_10697,Dundrum Luas,0
4486_88215,4492_10698,O'Connell Street,1
4486_88216,4492_10589,O'Connell Street,0
4486_88216,4492_10637,DCU,1
4486_88216,4486_10636,Enniskerry,0
4486_88216,4492_10684,Dundrum Road,1
4486_88217,4492_10687,Glencullen,0
4486_88217,4492_10692,Dundrum Luas,1
4486_88218,4486_12086,Brides Glen,0
4486_88218,4492_12087,Mountjoy Square,1
4486_88218,4486_12178,Parnell Square,1
4486_88219,4492_12868,Mountjoy Square,1
4486_88219,4486_12960,Parnell Square,1
4486_88219,4486_12866,Loughlinstown Pk,0
4486_88220,4492_12962,Shankill,0
4486_88220,4492_12966,Mountjoy Square,1
4486_88221,4492_12971,Dalkey,0
4486_88221,4492_12972,Mountjoy Square,1
4486_88222,4492_12973,Mountjoy Square,1
4486_88223,4486_10803,Poolbeg St,1
4486_88223,4486_10750,Belarmine,0
4486_88224,4486_10881,The Square,0
4486_88224,4486_10962,Pearse St,1
4486_88225,4492_10964,Waterloo Rd,1
4486_88225,4492_10963,Woodford Hill,0
4486_88226,4492_10966,Leixlip Intel,0
4486_88226,4486_11069,Ringsend Road,1
4486_88227,4492_6431,Blunden Drive,0
4486_88227,4492_6504,Eden Quay,1
4486_88228,4492_11072,Dublin Ferryport,0
4486_88228,4492_11110,Talbot Street,1
4486_88229,4486_11216,Kiltipper,0
4486_88229,4486_11291,Pearse St,1
4486_88230,4486_11333,The Square,0
4486_88230,4486_11373,Ringsend Road,1
4486_88231,4486_11540,Red Cow Luas,0
4486_88231,4492_11542,John Rogerson Qy,1
4486_88232,4492_11676,The Square,1
4486_88232,4492_11675,Blessington,0
4486_88233,4486_11780,Poolbeg St,1
4486_88233,4486_11730,Citywest,0
4486_88234,4486_11632,Ballymore,0
4486_88234,4492_11596,Ballyknockan,0
4486_88234,4492_11599,Blessington,0
4486_88234,4486_11671,Poolbeg St,1
4486_88235,4486_11932,Rathcoole,0
4486_88235,4486_11982,Poolbeg St,1
4486_88235,4486_11984,Conyngham Rd,1
4486_88236,4492_11987,Rathcoole,0
4486_88236,4492_11988,Poolbeg St,1
4486_88237,4486_11876,Conyngham Rd,1
4486_88237,4492_11782,Greenogue,0
4486_88237,4486_11826,Newcastle,0
4486_88237,4492_11829,Poolbeg St,1
4486_88238,4492_11881,Bulfin Road,0
4486_88238,4492_11884,Poolbeg St,1
4486_88239,4486_12406,Dundrum,0
4486_88239,4486_12504,Eden Quay,1
4486_88240,4486_12766,Ringsend Road,1
4486_88240,4486_12633,Citywest,0
4486_88241,4486_13126,Kimmage,0
4486_88241,4486_13274,Harristown,1
4486_88241,4492_13124,Bachelors Walk,0
4486_88241,4492_13143,Charlestown,1
4486_88241,4492_13276,Westmoreland St,1
4486_88242,4492_13320,Charlestown,1
4486_88242,4492_13279,Kimmage,0
4486_88242,4492_13321,Harristown,1
4486_88243,4492_13725,Visitor Centre,1
4486_88244,4492_564,Whitechurch,0
4486_88244,4492_565,Parnell Sq,1
4486_88245,4492_566,Eden Quay,1
4486_88246,4492_641,Ashtown Stn,0
4486_88246,4492_752,Ballsbridge,1
4486_88246,4492_745,Parnell St,1
4486_88247,4492_13542,O'Connell St,0
4486_88247,4486_13723,Charlestown,1
4486_88247,4486_13539,Limekiln Avenue,0
4486_88247,4492_13722,Parnell Sq,1
4486_88248,4486_994,Drimnagh Road,0
4486_88248,4492_1141,O'Connell Street,1
4486_88248,4492_995,Parnell Square,0
4486_88248,4492_1000,Ashington,1
4486_88249,4486_1503,Kilnamanagh Rd,1
4486_88249,4492_1144,Marino,0
4486_88249,4492_1322,O'Connell Street,0
4486_88249,4492_1506,O'Connell Street,1
4486_88250,4486_2109,Castle Ave,0
4486_88250,4492_2111,Talbot Street,1
4486_88251,4492_2875,IKEA,1
4486_88251,4492_3028,O'Connell St,1
4486_88251,4492_2872,O'Connell St,0
4486_88251,4492_2702,Rathmines,0
4486_88252,4492_1,Shaw street,0
4486_88252,4492_172,Shanard Road,1
4486_88253,4492_3036,Coast Road,1
4486_88253,4492_3031,UCD,0
4486_88254,4492_3713,Hawkins Street,1
4486_88254,4486_3712,Rossmore,0
4486_88255,4486_4091,Eden Quay,1
4486_88255,4486_3958,Foxborough,0
4486_88255,4492_3961,Docklands,1
4486_88256,4492_19648,Ringsend Road,1
4486_88256,4492_19644,Adamstown Station,0
4486_88257,4492_20004,Kilcoole,0
4486_88257,4492_20008,Hawkins Street,1
4486_88258,4492_20014,Newcastle,0
4486_88258,4492_20017,Hawkins Street,1
4486_88259,4492_20022,Maynooth,0
4486_88259,4492_20027,UCD Belfield,1
4486_88259,4492_20030,Leeson Street Lr,1
4486_88260,4492_20031,Leeson Street Lr,1
4486_88261,4492_20039,UCD Belfield,1
4486_88261,4492_20038,Leeson Street Lr,1
4486_88261,4492_20034,Salesian College,0
4486_88262,4492_20042,Salesian College,0
4486_88262,4492_20047,UCD Belfield,1
4486_88262,4492_20046,Leeson Street Lr,1
4486_88263,4492_20053,UCD Belfield,1
4486_88263,4492_20051,Adamstown Station,0
4486_88264,4492_20057,River Forest,0
4486_88264,4492_20060,Earlsfort Terrace,1
4486_88265,4492_20065,Earlsfort Terrace,1
4486_88265,4492_20063,Hewlett Packard,0
4486_88266,4486_13906,Adamstown Station,0
4486_88266,4486_14047,Sandymount,1
4486_88267,4486_14182,Adamstown Station,0
4486_88267,4486_14320,Sandymount,1
4486_88268,4486_14567,Ringsend Road,1
4486_88268,4486_14453,Maynooth,0
4486_88269,4492_14687,Ringsend Road,1
4486_88269,4486_14685,Maynooth,0
4486_88270,4486_14848,Ringsend Road,1
4486_88270,4486_14832,Maynooth,0
4486_88271,4486_14802,Maynooth,0
4486_88271,4486_14817,Ringsend Road,1
4486_88272,4486_15136,Ballywaltrim,0
4486_88272,4486_15440,Northwood,1
4486_88272,4492_15187,Parnell Square,1
4486_88273,4486_16015,Harristown,1
4486_88273,4486_15728,Dun Laoghaire,0
4486_88274,4486_16421,Spencer Dock,1
4486_88274,4486_16221,Red Cow Luas,0
4486_88275,4486_16820,Spencer Dock,1
4486_88275,4486_16619,Liffey Valley SC,0
4486_88276,4486_17216,Abbey St Lower,1
4486_88276,4486_17021,Baldoyle,0
4486_88277,4486_17407,Abbey St Lower,1
4486_88277,4486_17308,Malahide,0
4486_88278,4492_17517,Abbey St Lower,1
4486_88278,4486_17515,Howth Summit,0
4486_88279,4486_19340,Blanchardstown SC,0
4486_88279,4486_19607,Point Village,1
4486_88280,4486_19826,Irishtown,0
4486_88280,4486_20002,Heuston Station,1
4486_88281,4486_4510,Stocking Ave,0
4486_88281,4486_4681,Merrion Square,1
4486_88282,4492_4684,Merrion Square,1
4486_88282,4492_4682,Whitechurch,0
4486_88283,4486_4350,Merrion Square,1
4486_88283,4486_4221,Limekiln Ave,0
4486_88284,4492_12305,Out of Service ACW,0
4486_88284,4492_12308,Out of Service CW,1
4486_88285,4492_6586,Coolock Lane,0
4486_88285,4492_6583,Castletimon,0
4486_88285,4486_6713,Harristown,0
4486_88285,4492_6715,Eden Quay,1
4486_88286,4492_10446,Strand Road,0
4486_88286,4492_10447,DCU,1
4486_88287,4492_17624,Ballywaltrim,0
4486_88287,4492_17748,Bray Station,1
4486_88288,4492_17969,Palermo,1
4486_88288,4492_17872,Southern Cross,0
4486_88289,4492_18066,Dun Laoghaire,0
4486_88289,4492_18243,Dundrum,1
4486_88290,4486_18708,River Forest,0
4486_88290,4486_18804,Red Cow Luas,1
4486_88291,4492_18861,River Forest,1
4486_88291,4492_18807,Hazelhatch Station,0
4486_88292,4492_18916,Hazelhatch Station,0
4486_88292,4492_19013,River Forest,1
4492_88176,4492_343,Sandyford B.D.,0
4492_88176,4492_452,O'Connell St Lower,0
4492_88176,4492_455,Phoenix Pk,1
4492_88176,4492_561,Parnell Square,1
