route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4486_88180,341,4492_3544,Clongriffin,14208,1,4492_7778195_1015007,4492_96
4486_88180,340,4492_3545,Clongriffin,7116,1,4492_7778195_1015017,4492_97
4486_88180,342,4492_3546,Clongriffin,19426,1,4492_7778195_1015009,4492_98
4486_88180,342,4492_3547,Clongriffin,15898,1,4492_7778195_9015006,4492_96
4486_88180,341,4492_3548,Clongriffin,13915,1,4492_7778195_1015011,4492_97
4486_88180,340,4492_3549,Clongriffin,7030,1,4492_7778195_1015002,4492_98
4492_88176,340,4492_355,Sandyford B.D.,6818,0,4492_7778195_1011012,4492_7
4486_88180,341,4492_3550,Clongriffin,14114,1,4492_7778195_1015005,4492_96
4486_88180,342,4492_3551,Clongriffin,15892,1,4492_7778195_9015007,4492_97
4486_88180,340,4492_3552,Clongriffin,1379,1,4492_7778195_9015016,4492_98
4486_88180,340,4492_3553,Clongriffin,1377,1,4492_7778195_9015015,4492_96
4486_88180,341,4492_3554,Clongriffin,9453,1,4492_7778195_9015010,4492_97
4486_88180,342,4492_3555,Clongriffin,19362,1,4492_7778195_1015013,4492_98
4486_88180,341,4492_3556,Clongriffin,14150,1,4492_7778195_1015012,4492_96
4486_88180,340,4492_3557,Clongriffin,1381,1,4492_7778195_9015017,4492_97
4486_88180,342,4492_3558,Clongriffin,15930,1,4492_7778195_9015008,4492_98
4486_88180,342,4492_3559,Clongriffin,19267,1,4492_7778195_1015008,4492_96
4492_88176,341,4492_356,Sandyford B.D.,13932,0,4492_7778195_1011003,4492_7
4486_88180,341,4492_3560,Clongriffin,9412,1,4492_7778195_9015008,4492_97
4486_88180,340,4492_3561,Clongriffin,7130,1,4492_7778195_1015026,4492_98
4486_88180,342,4492_3562,Clongriffin,19479,1,4492_7778195_1015014,4492_96
4486_88180,340,4492_3563,Clongriffin,7098,1,4492_7778195_1015023,4492_97
4486_88180,341,4492_3564,Clongriffin,14132,1,4492_7778195_1015015,4492_98
4486_88180,341,4492_3565,Clongriffin,14102,1,4492_7778195_1015016,4492_96
4486_88180,340,4492_3566,Clongriffin,6809,1,4492_7778195_1015024,4492_97
4486_88180,342,4492_3567,Clongriffin,19406,1,4492_7778195_1015015,4492_98
4486_88180,342,4492_3568,Clongriffin,19461,1,4492_7778195_1015017,4492_96
4486_88180,340,4492_3569,Clongriffin,6798,1,4492_7778195_1015025,4492_97
4492_88176,340,4492_357,Sandyford B.D.,6874,0,4492_7778195_1011004,4492_10
4486_88180,341,4492_3570,Clongriffin,13928,1,4492_7778195_1015018,4492_98
4486_88180,342,4492_3571,Clongriffin,15913,1,4492_7778195_9015009,4492_96
4486_88180,341,4492_3572,Clongriffin,9394,1,4492_7778195_9015011,4492_97
4486_88180,340,4492_3573,Clongriffin,1315,1,4492_7778195_9015018,4492_98
4486_88180,340,4492_3574,Clongriffin,1312,1,4492_7778195_9015019,4492_96
4486_88180,341,4492_3575,Clongriffin,9448,1,4492_7778195_9015012,4492_97
4486_88180,342,4492_3576,Clongriffin,15904,1,4492_7778195_9015010,4492_98
4486_88180,341,4492_3577,Clongriffin,14192,1,4492_7778195_1015017,4492_96
4486_88180,342,4492_3578,Clongriffin,19276,1,4492_7778195_1015016,4492_97
4486_88180,340,4492_3579,Clongriffin,7132,1,4492_7778195_1015026,4492_98
4492_88176,342,4492_358,Sandyford B.D.,19494,0,4492_7778195_1011001,4492_7
4486_88180,342,4492_3580,Clongriffin,19481,1,4492_7778195_1015014,4492_96
4486_88180,340,4492_3581,Clongriffin,6961,1,4492_7778195_1015027,4492_97
4486_88180,341,4492_3582,Clongriffin,14089,1,4492_7778195_1015019,4492_98
4486_88180,341,4492_3583,Clongriffin,14104,1,4492_7778195_1015016,4492_96
4486_88180,340,4492_3584,Clongriffin,7107,1,4492_7778195_1015028,4492_97
4486_88180,342,4492_3585,Clongriffin,19408,1,4492_7778195_1015015,4492_98
4486_88180,340,4492_3586,Clongriffin,7133,1,4492_7778195_1015030,4492_96
4486_88180,342,4492_3587,Clongriffin,19463,1,4492_7778195_1015017,4492_97
4486_88180,341,4492_3588,Clongriffin,13930,1,4492_7778195_1015018,4492_98
4486_88254,340,4492_3589,Rossmore,5150,0,4492_7778195_5150003,4492_99
4492_88176,340,4492_359,Sandyford B.D.,6752,0,4492_7778195_1011013,4492_10
4486_88254,341,4492_3590,Rossmore,12569,0,4492_7778195_5150002,4492_99
